Date,Open,High,Low,Close,Volume
2020-11-09,140.241,143.316,137.957,140.201,2389096.4119055
2020-11-10,141.803,144.868,141.171,144.176,2093391.0330934
2020-11-11,143.968,143.968,141.19,143.217,1883333.1269825
2020-11-12,141.566,142.476,139.797,140.557,1362723.4844889
2020-11-13,141.754,144.236,141.032,144.028,1277647.453441
2020-11-16,146.589,146.836,144.602,145.728,1684836.5474868
2020-11-17,144.532,146.065,143.81,144.334,1303111.5003482
2020-11-18,145.264,147.903,144.69,146.262,1612238.1725018
2020-11-19,145.333,145.976,142.258,142.92,1483146.9745415
2020-11-20,142.93,143.247,140.557,141.368,1426017.980239
2020-11-23,141.971,143.672,141.863,142.95,1490320.8429418
2020-11-24,145.452,146.5,144.098,146.431,1872948.0599116
2020-11-25,146.609,146.609,144.404,144.878,886761.13463046
2020-11-27,144.472,145.818,144.136,144.898,660031.29186227
2020-11-30,143.89,145.006,141.655,142.318,1649988.7206534
2020-12-01,143.92,147.034,143.612,144.612,1367064.4182509
2020-12-02,143.77,146.381,143.049,146.114,1178549.356765
2020-12-03,146.114,147.903,145.738,146.638,1135279.5925046
2020-12-04,146.678,148.793,146.678,148.705,1117665.0299699
2020-12-07,147.637,148.299,145.333,145.788,1083803.3192636
2020-12-08,145.136,147.043,144.958,146.332,1006041.7413766
2020-12-09,146.46,147.489,145.808,146.885,1263468.6206337
2020-12-10,145.392,146.351,143.01,143.296,2143391.6720477
2020-12-11,142.742,144.77,141.783,144.196,2565472.636716
2020-12-14,145.659,147.775,145.54,146.104,1844593.4285002
2020-12-15,146.401,148.071,144.898,147.33,1320550.0790818
2020-12-16,147.587,147.983,145.442,146.164,1441271.9324754
2020-12-17,146.609,146.865,144.394,144.444,998260.02088154
2020-12-18,144.146,146.529,143.9,145.482,2568514.9313935
2020-12-21,142.94,143.8,140.379,142.614,2078234.1753681
2020-12-22,142.564,142.614,139.401,139.599,1684721.2477551
2020-12-23,140.419,142.357,140.073,141.171,1169143.3260132
2020-12-24,141.358,142.13,140.657,141.991,469529.83850569
2020-12-28,142.169,143.415,141.368,141.724,816320.07831136
2020-12-29,142.723,142.723,139.489,140.607,1160146.9127297
2020-12-30,140.547,142.367,140.528,141.319,1045070.7005894
2020-12-31,141.151,141.902,140.409,141.823,1839784.216003
2021-01-04,142.228,142.228,137.997,139.075,1497086.1052749
2021-01-05,139.321,139.807,137.7,139.143,1242977.633211
2021-01-06,138.402,143.554,138.402,142.683,1936476.1893287
2021-01-07,142.95,145.076,141.764,144.572,1406735.617198
2021-01-08,143.346,145.442,141.605,143.682,2356977.3453912
2021-01-11,143.178,145.076,142.367,144.631,1502064.2217652
2021-01-12,144.631,147.627,144.602,146.262,1607292.4208485
2021-01-13,145.689,146.203,144.196,145.442,1245442.4178285
2021-01-14,146.371,149.129,145.798,147.894,1622201.4852906
2021-01-15,147.399,148.013,145.768,147.024,1898391.8787957
2021-01-19,148.181,149.11,146.915,146.984,1499228.2529235
2021-01-20,147.093,148.201,146.282,147.835,1113469.7379743
2021-01-21,147.647,148.527,144.444,144.997,1453808.2498052
2021-01-22,144.364,147.004,143.79,146.638,1220533.630156
2021-01-25,145.718,149.437,145.046,147.014,1926535.1273654
2021-01-26,148.141,148.417,143.988,144.285,1655162.0375668
2021-01-27,144.69,152.6,142.91,146.599,2472859.6442528
2021-01-28,147.014,147.36,143.632,144.384,2076971.9467252
2021-01-29,143.128,145.006,140.735,140.795,3232430.0036952
2021-02-01,141.497,142.604,140.647,141.744,1839214.7971521
2021-02-02,142.525,145.333,142.367,143.8,2121644.5243892
2021-02-03,142.732,147.627,142.732,146.935,1563508.8648008
2021-02-04,147.528,151.335,146.905,151.206,1680837.4673156
