Date,Open,High,Low,Close,Volume
2020-11-09,303.606,306.11,289.218,290.376,1797142.0292544
2020-11-10,291.761,305.427,290.563,303.131,984463.23402418
2020-11-11,303.567,303.577,294.948,298.748,612861.71504017
2020-11-12,296.858,297.6,291.396,295.145,765078.17966957
2020-11-13,296.936,301.785,295.986,300.42,511954.71610744
2020-11-16,303.972,304.15,300.143,301.419,575963.20382303
2020-11-17,299.113,304.309,298.441,301.331,772461.52002211
2020-11-18,303.358,304.962,299.083,299.36,1231721.2572077
2020-11-19,299.944,300.578,295.799,298.272,734975.85841559
2020-11-20,297.699,298.995,294.157,295.334,806057.43662221
2020-11-23,298.025,299.934,294.444,295.392,704527.91679471
2020-11-24,298.302,302.251,297.333,298.768,953072.41578834
2020-11-25,298.846,302.765,296.709,300.964,724914.46551249
2020-11-27,301.508,301.745,295.611,296.333,490627.31194644
2020-11-30,295.611,296.689,289.654,292.681,1192362.9799875
2020-12-01,294.541,300.044,291.02,291.554,912138.63519975
2020-12-02,291.554,292.127,288.298,289.288,794895.51570872
2020-12-03,289.684,295.086,289.248,293.81,1024569.3447868
2020-12-04,294.394,297.927,293.503,297.48,820306.69736284
2020-12-07,297.076,297.213,288.833,291.454,936321.95502409
2020-12-08,291.227,298.866,290.88,292.394,789124.05981583
2020-12-09,292.563,295.047,290.554,294.107,754363.94829566
2020-12-10,292.524,295.996,288.437,288.971,1204381.8777171
2020-12-11,288.634,291.663,285.706,291.039,888458.58713775
2020-12-14,292.414,293.77,288.556,288.556,723250.03058768
2020-12-15,288.882,291.128,288.308,289.05,932301.84444068
2020-12-16,290.9,294.444,289.822,292.444,1027881.0346767
2020-12-17,292.691,297.263,290.179,291.148,1338179.404314
2020-12-18,291.069,295.295,289.722,293.513,2750606.5523596
2020-12-21,289.545,290.406,283.479,288.169,1475771.6808457
2020-12-22,288.011,288.367,285.38,286.923,996366.92496488
2020-12-23,288.833,293.246,288.13,291.128,812784.90674634
2020-12-24,291.059,291.534,287.517,290.109,343589.08930533
2020-12-28,290.99,295.047,289.822,293.404,623736.6295671
2020-12-29,295.145,295.354,289.664,291.445,541898.37538011
2020-12-30,291.9,295.858,291.761,293.018,545452.60587833
2020-12-31,293.018,295.285,290.98,295.057,537545.78204608
2021-01-04,294.434,294.601,282.995,285.419,1309094.7430293
2021-01-05,285.884,289.031,284.676,287.19,970625.28173188
2021-01-06,284.656,292.514,283.915,289.654,983708.32638069
2021-01-07,287.408,289.465,283.271,283.311,1374568.5802536
2021-01-08,283.33,284.281,277.502,279.195,2158931.7700447
2021-01-11,278.65,285.597,278.047,285.4,1261211.1634255
2021-01-12,285.517,289.09,284.192,288.11,1109078.5774232
2021-01-13,288.556,290.495,285.3,289.97,1591869.8065482
2021-01-14,292.464,299.064,292.404,293.404,1420589.6501025
2021-01-15,293.108,293.899,289.465,291.217,1841282.3988025
2021-01-19,293.879,294.364,288.417,288.575,1405126.6757342
2021-01-20,290.486,291.524,287.635,289.298,1018099.5740591
2021-01-21,288.041,290.316,287.002,287.457,1007603.6292327
2021-01-22,286.616,291.069,285.22,288.714,1021600.2435062
2021-01-25,290.189,295.522,288.446,289.862,1518010.12779
2021-01-26,290.296,290.88,283.242,283.815,1017416.4180122
2021-01-27,283.598,286.685,281.916,282.985,1434769.1804181
